district,state,censuscode,centroid_lat,centroid_lon
Kurnool,Andhra Pradesh,552,15.53362,78.00615
Kurukshetra,Haryana,72,30.04507,76.7862
Kurung Kumey,Arunanchal Pradesh,256,27.99983,93.3924
Kushinagar,Uttar Pradesh,189,26.86171,83.93485
Lahul & Spiti,Himachal Pradesh,25,32.48051,77.61613
Lakhimpur,Assam,307,27.16896,94.12581
Lakhisarai,Bihar,227,25.15547,86.13116
Lalitpur,Uttar Pradesh,167,24.65334,78.56188
Latehar,Jharkhand,359,23.71779,84.44323
Latur,Maharashtra,524,18.36052,76.77508
Lawangtlai,Mizoram,287,22.3836,92.7132
Leh (ladakh),Jammu & Kashmir,3,34.33884,78.43592
Lohardaga,Jharkhand,356,23.47568,84.67002
Lohit,Arunanchal Pradesh,259,27.84012,96.19521
Longleng,Nagaland,268,26.5554,94.80031
Lower Dibang Valley,Arunanchal Pradesh,258,28.37258,95.8804
Lower Subansiri,Arunanchal Pradesh,255,27.62554,93.93908
Lucknow,Uttar Pradesh,157,26.84157,80.90673
Ludhiana,Punjab,41,30.80874,75.83815
Lunglei,Mizoram,286,22.97192,92.72258
Madhepura,Bihar,213,25.82589,86.89629
Madhubani,Bihar,207,26.40566,86.21793
Madurai,Tamil Nadu,623,9.92096,78.00629
Maharajganj,Uttar Pradesh,187,27.20253,83.53326
Mahasamund,Chhattisgarh,411,21.2071,82.61282
Mahbubnagar,Andhra Pradesh,538,16.49853,78.14613
Mahe,Puducherry,636,11.72668,75.54154
Mahendragarh,Haryana,84,28.17289,76.14317
Mahesana,Gujarat,471,23.60897,72.46192
Mahoba,Uttar Pradesh,169,25.34427,79.69665
Mainpuri,Uttar Pradesh,148,27.18057,79.05907
Malappuram,Kerala,592,11.13207,76.15578
Maldah,West Bengal,332,25.13668,88.09233
Malkangiri,Odisha,399,18.25807,81.95633
Mamit,Mizoram,281,23.75401,92.46718
Mandi,Himachal Pradesh,27,31.63828,76.99294
Mandla,Madhya Pradesh,454,22.64041,80.51344
Mandsaur,Madhya Pradesh,433,24.21134,75.40554
Mandya,Karnataka,573,12.61036,76.79796
Mansa,Punjab,47,29.90838,75.43895
Marigaon,Assam,304,26.28477,92.28196
Mathura,Uttar Pradesh,145,27.59681,77.62764
Mau,Uttar Pradesh,192,26.04306,83.56288
Mayurbhanj,Odisha,376,21.89517,86.41118
Medak,Andhra Pradesh,535,17.888,78.21569
Meerut,Uttar Pradesh,138,29.03573,77.79392
Mewat,Haryana,87,27.98166,77.04656
Mirzapur,Uttar Pradesh,199,24.98541,82.6192
Moga,Punjab,42,30.77001,75.16805
Mokokchung,Nagaland,262,26.47197,94.53176
Mon,Nagaland,261,26.73118,95.02166
Moradabad,Uttar Pradesh,135,28.77523,78.70853
Morena,Madhya Pradesh,419,26.41378,77.86882
Muktsar,Punjab,44,30.29464,74.54102
Mumbai,Maharashtra,519,18.95963,72.84962
Mumbai Suburban,Maharashtra,518,19.12958,72.88507
Munger,Bihar,226,25.20997,86.52735
Murshidabad,West Bengal,333,24.16115,88.23107
Muzaffarnagar,Uttar Pradesh,133,29.43902,77.59232
Muzaffarpur,Bihar,216,26.15114,85.33076
Mysore,Karnataka,577,12.2088,76.44212
Nabarangapur,Odisha,397,19.58804,82.33766
Nadia,West Bengal,336,23.48269,88.52145
Nagaon,Assam,305,26.22296,92.84252
Nagaur,Rajasthan,112,27.06404,74.18795
Nagpur,Maharashtra,505,21.17628,79.08757
Nainital,Uttarakhand,66,29.31271,79.45472
Nalanda,Bihar,229,25.22082,85.45586
Nalbari,Assam,323,26.36793,91.38767
Nalgonda,Andhra Pradesh,539,17.0678,79.28868
Namakkal,Tamil Nadu,609,11.31625,78.13614
Nanded,Maharashtra,511,19.11593,77.62401
Nandurbar,Maharashtra,497,21.54965,74.2187
Narayanpur,Chhattisgarh,415,19.60426,81.08119
Narmada,Gujarat,487,21.73537,73.64753
Narsimhapur,Madhya Pradesh,452,22.93457,79.08728
Nashik,Maharashtra,516,20.25922,74.07142
Navsari,Gujarat,490,20.81517,73.08973
Nawada,Bihar,237,24.81104,85.59414
Nayagarh,Odisha,385,20.21306,84.99944
Neemuch,Madhya Pradesh,432,24.60564,75.14463
Sri Potti Sriramulu Nellore,Andhra Pradesh,550,14.4268,79.7344
New Delhi,NCT of Delhi,94,28.61088,77.21397
Nizamabad,Andhra Pradesh,533,18.5261,78.14394
North,NCT of Delhi,91,28.71056,77.21154
North,Sikkim,241,27.7434,88.53245
North 24 Parganas,West Bengal,337,22.46495,88.78032
Dima Hasao,Assam,315,25.37705,93.03417
North East,NCT of Delhi,92,28.70769,77.27398
North Goa,Goa,585,15.55253,73.98066
North Tripura,Tripura,292,24.1305,92.15552
North West,NCT of Delhi,90,28.76878,77.08687
Nuapada,Odisha,394,20.46566,82.57831
Osmanabad,Maharashtra,525,18.18907,76.03879
Pakur,Jharkhand,353,24.56326,87.66413
Palakkad,Kerala,593,10.79464,76.55858
Palamu,Jharkhand,358,24.20242,84.16743
Pali,Rajasthan,118,25.70787,73.52065
Palwal,Haryana,89,28.0475,77.31835
Panch Mahals,Gujarat,484,22.90396,73.66414
Panchkula,Haryana,69,30.68598,76.97763
Panipat,Haryana,75,29.33259,76.92634
Panna,Madhya Pradesh,426,24.42046,80.19174
Papum Pare,Arunanchal Pradesh,248,27.28879,93.59694
Parbhani,Maharashtra,513,19.28573,76.68276
Pashchim Champaran,Bihar,203,27.07925,84.34121
Pashchim Medinipur,West Bengal,344,22.41427,87.26703
Pashchimi Singhbhum,Jharkhand,368,22.4197,85.51959
Patan,Gujarat,470,23.76936,71.75243
Pathanamthitta,Kerala,599,9.28406,76.92897
Patiala,Punjab,48,30.28145,76.35397
Patna,Bihar,230,25.45644,85.22216
Perambalur,Tamil Nadu,615,11.27334,78.89301
Peren,Nagaland,271,25.49957,93.62352
Phek,Nagaland,266,25.66083,94.52552
Pilibhit,Uttar Pradesh,151,28.54183,79.9617
Pithoragarh,Uttarakhand,62,30.11198,80.3477
Porbandar,Gujarat,478,21.65347,69.77805
Prakasam,Andhra Pradesh,549,15.62134,79.5158
Pratapgarh,Rajasthan,131,24.02943,74.68096
Pratapgarh,Uttar Pradesh,173,25.87256,81.83144
Pudukkottai,Tamil Nadu,621,10.35862,78.88124
Pulwama,Jammu & Kashmir,12,33.93295,75.03728
Punch,Jammu & Kashmir,5,33.70178,74.19916
Pune,Maharashtra,521,18.57088,74.06908
Purba Champaran,Bihar,204,26.61845,84.92468
Purba Medinipur,West Bengal,345,22.02076,87.77439
Purbi Singhbhum,Jharkhand,357,22.58257,86.45266
Puri,Odisha,387,19.87655,85.72089
Purnia,Bihar,211,25.81614,87.40708
Puruliya,West Bengal,340,23.27737,86.41833
Rae Bareli,Uttar Pradesh,158,26.2288,81.23136
Raichur,Karnataka,559,16.08947,76.89315
Raigarh,Chhattisgarh,403,22.08582,83.30603
